Index,Date_Observed,Day,TrapOrder,Waterbody,Site_ID,Site_Name,Site_Info,Trap_Number,Site.Elev.mllw,Latitude,Longitude,SiteNorthing,Trap_Type,Trap_Info,Species,Sex,CW_mm,Notes
6,8/7/25,1,24,Willapa Bay,,Stackpole,Mid,1260G,1.27,46.59322,-124.02859,5160482.75,Fukui,,CAMA,Female,57,
7,8/7/25,1,24,Willapa Bay,,Stackpole,Mid,1260G,1.27,46.59322,-124.02859,5160482.75,Fukui,,CAMA,Female,57,
8,8/7/25,1,24,Willapa Bay,,Stackpole,Mid,1260G,1.27,46.59322,-124.02859,5160482.75,Fukui,,CAMA,Male,64,
9,8/7/25,1,24,Willapa Bay,,Stackpole,Mid,1260G,1.27,46.59322,-124.02859,5160482.75,Fukui,,CAMA,Female,51,
16,8/7/25,1,26,Willapa Bay,,Stackpole,Mid,1281G,1.27,46.5923,-124.0281,5160482.75,Fukui,,CAMA,Male,46,
17,8/7/25,1,26,Willapa Bay,,Stackpole,Mid,1281G,1.27,46.5923,-124.0281,5160482.75,Fukui,,CAMA,Male,62,
18,8/7/25,1,26,Willapa Bay,,Stackpole,Mid,1281G,1.27,46.5923,-124.0281,5160482.75,Fukui,,CAMA,Male,49,
20,8/7/25,1,28,Willapa Bay,,Stackpole,Mid,1287G,1.27,46.5926,-124.02821,5160482.75,Fukui,,CAMA,Female,54,
23,8/7/25,1,21,Willapa Bay,,Stackpole,Mid,21029R,1.27,46.5929,-124.02838,5160482.75,Minnow,,CAMA,Male,51,
24,8/7/25,1,21,Willapa Bay,,Stackpole,Mid,21029R,1.27,46.5929,-124.02838,5160482.75,Minnow,,CAMA,Male,61,
25,8/7/25,1,21,Willapa Bay,,Stackpole,Mid,21029R,1.27,46.5929,-124.02838,5160482.75,Minnow,,CAMA,Male,48,
26,8/7/25,1,21,Willapa Bay,,Stackpole,Mid,21029R,1.27,46.5929,-124.02838,5160482.75,Minnow,,CAMA,Male,62,
22,8/7/25,1,23,Willapa Bay,,Stackpole,Mid,21039R,1.27,46.59269,-124.02823,5160482.75,Minnow,,CAMA,Male,50,
19,8/7/25,1,25,Willapa Bay,,Stackpole,Mid,21060R,1.27,46.59217,-124.02802,5160482.75,Minnow,,CAMA,Male,43,
13,8/7/25,1,27,Willapa Bay,,Stackpole,Mid,21103R,1.27,46.59312,-124.0285,5160482.75,Minnow,,CAMA,Female,65,Hole in shell
14,8/7/25,1,27,Willapa Bay,,Stackpole,Mid,21103R,1.27,46.59312,-124.0285,5160482.75,Minnow,,CAMA,Male,56,
15,8/7/25,1,27,Willapa Bay,,Stackpole,Mid,21103R,1.27,46.59312,-124.0285,5160482.75,Minnow,,CAMA,Male,47,
167,8/7/25,1,29,Willapa Bay,,Woodys,Low,1249G,-0.02,46.42523,-124.01386,5141871.57,Fukui,,CAMA,Male,80,
97,8/7/25,1,31,Willapa Bay,,Woodys,Low,1259G,-0.02,46.4255,-124.01394,5141871.57,Fukui,,CAMA,Female,57,
98,8/7/25,1,31,Willapa Bay,,Woodys,Low,1259G,-0.02,46.4255,-124.01394,5141871.57,Fukui,,CAMA,Female,67,
99,8/7/25,1,31,Willapa Bay,,Woodys,Low,1259G,-0.02,46.4255,-124.01394,5141871.57,Fukui,,CAMA,Female,64,
100,8/7/25,1,31,Willapa Bay,,Woodys,Low,1259G,-0.02,46.4255,-124.01394,5141871.57,Fukui,,CAMA,Female,60,
177,8/7/25,1,33,Willapa Bay,,Woodys,Low,1267G,-0.02,46.4248,-124.01373,5141871.57,Fukui,,CAMA,Female,76,
178,8/7/25,1,33,Willapa Bay,,Woodys,Low,1267G,-0.02,46.4248,-124.01373,5141871.57,Fukui,,CAMA,Male,70,
179,8/7/25,1,33,Willapa Bay,,Woodys,Low,1267G,-0.02,46.4248,-124.01373,5141871.57,Fukui,,CAMA,Female,70,
180,8/7/25,1,33,Willapa Bay,,Woodys,Low,1267G,-0.02,46.4248,-124.01373,5141871.57,Fukui,,CAMA,Male,69,
181,8/7/25,1,33,Willapa Bay,,Woodys,Low,1267G,-0.02,46.4248,-124.01373,5141871.57,Fukui,,CAMA,Male,70,
182,8/7/25,1,33,Willapa Bay,,Woodys,Low,1267G,-0.02,46.4248,-124.01373,5141871.57,Fukui,,CAMA,Male,67,
183,8/7/25,1,33,Willapa Bay,,Woodys,Low,1267G,-0.02,46.4248,-124.01373,5141871.57,Fukui,,CAMA,Female,58,
184,8/7/25,1,33,Willapa Bay,,Woodys,Low,1267G,-0.02,46.4248,-124.01373,5141871.57,Fukui,,CAMA,Male,69,
185,8/7/25,1,33,Willapa Bay,,Woodys,Low,1267G,-0.02,46.4248,-124.01373,5141871.57,Fukui,,CAMA,Male,77,
174,8/7/25,1,30,Willapa Bay,,Woodys,Low,21015R,-0.02,46.42494,-124.01375,5141871.57,Minnow,,CAMA,Male,63,
175,8/7/25,1,30,Willapa Bay,,Woodys,Low,21015R,-0.02,46.42494,-124.01375,5141871.57,Minnow,,CAMA,Male,60,
101,8/7/25,1,32,Willapa Bay,,Woodys,Low,21030R,-0.02,46.426,-124.01397,5141871.57,Minnow,,CAMA,Female,56,
102,8/7/25,1,32,Willapa Bay,,Woodys,Low,21030R,-0.02,46.426,-124.01397,5141871.57,Minnow,,CAMA,Female,63,
166,8/7/25,1,35,Willapa Bay,,Woodys,Low,21041R,-0.02,46.42535,-124.01388,5141871.57,Minnow,,CAMA,Male,61,
170,8/7/25,1,36,Willapa Bay,,Woodys,Low,21083R,-0.02,46.42504,-124.01379,5141871.57,Fukui,,CAMA,Male,77,Hole in carapace
171,8/7/25,1,36,Willapa Bay,,Woodys,Low,21083R,-0.02,46.42504,-124.01379,5141871.57,Fukui,,CAMA,Female,60,
172,8/7/25,1,36,Willapa Bay,,Woodys,Low,21083R,-0.02,46.42504,-124.01379,5141871.57,Fukui,,CAMA,Female,67,
173,8/7/25,1,36,Willapa Bay,,Woodys,Low,21083R,-0.02,46.42504,-124.01379,5141871.57,Fukui,,CAMA,Male,84,
104,8/7/25,1,37,Willapa Bay,,Woodys,Low,21120R,-0.02,46.42583,-124.01398,5141871.57,Fukui,,CAMA,Female,62,
107,8/7/25,1,38,Willapa Bay,,Woodys,Marsh,1209G,1.7,46.42629,-124.01952,5141871.57,Fukui,,CAMA,Male,64,
108,8/7/25,1,38,Willapa Bay,,Woodys,Marsh,1209G,1.7,46.42629,-124.01952,5141871.57,Fukui,,CAMA,Male,61,
109,8/7/25,1,40,Willapa Bay,,Woodys,Marsh,1209G,1.7,46.42629,-124.01952,5141871.57,Fukui,,CAMA,Female,51,
176,8/7/25,1,42,Willapa Bay,,Woodys,Marsh,1214G,1.7,46.42652,-124.01945,5141871.57,Fukui,,CAMA,Male,80,Missing fifth marginal tooth
123,8/7/25,1,44,Willapa Bay,,Woodys,Marsh,1240G,1.7,46.42684,-124.01944,5141871.57,Fukui,,CAMA,Male,68,
124,8/7/25,1,44,Willapa Bay,,Woodys,Marsh,1240G,1.7,46.42684,-124.01944,5141871.57,Fukui,,CAMA,Male,57,
125,8/7/25,1,44,Willapa Bay,,Woodys,Marsh,1240G,1.7,46.42684,-124.01944,5141871.57,Fukui,,CAMA,Male,54,
126,8/7/25,1,44,Willapa Bay,,Woodys,Marsh,1240G,1.7,46.42684,-124.01944,5141871.57,Fukui,,CAMA,Male,62,
127,8/7/25,1,44,Willapa Bay,,Woodys,Marsh,1240G,1.7,46.42684,-124.01944,5141871.57,Fukui,,CAMA,Male,40,
128,8/7/25,1,44,Willapa Bay,,Woodys,Marsh,1240G,1.7,46.42684,-124.01944,5141871.57,Fukui,,CAMA,Female,56,
129,8/7/25,1,44,Willapa Bay,,Woodys,Marsh,1240G,1.7,46.42684,-124.01944,5141871.57,Fukui,,CAMA,Male,56,
130,8/7/25,1,44,Willapa Bay,,Woodys,Marsh,1240G,1.7,46.42684,-124.01944,5141871.57,Fukui,,CAMA,Male,53,
137,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Female,53,
138,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Male,56,
139,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Female,53,
140,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Female,48,
141,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Male,58,
142,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Male,56,
143,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Male,55,
144,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Female,49,
145,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Female,53,
146,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Male,54,
147,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Female,55,
148,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Male,48,
149,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Female,52,
150,8/7/25,1,46,Willapa Bay,,Woodys,Marsh,1426G,1.7,46.42601,-124.01944,5141871.57,Fukui,,CAMA,Female,42,
110,8/7/25,1,39,Willapa Bay,,Woodys,Marsh,21025R,1.7,46.42692,-124.01953,5141871.57,Minnow,,CAMA,Male,65,Abdomen damaged
111,8/7/25,1,39,Willapa Bay,,Woodys,Marsh,21025R,1.7,46.42692,-124.01953,5141871.57,Minnow,,CAMA,Male,40,
114,8/7/25,1,41,Willapa Bay,,Woodys,Marsh,21028R,1.7,46.42715,-124.0197,5141871.57,Minnow,,CAMA,Female,52,
115,8/7/25,1,41,Willapa Bay,,Woodys,Marsh,21028R,1.7,46.42715,-124.0197,5141871.57,Minnow,,CAMA,Male,51,
116,8/7/25,1,41,Willapa Bay,,Woodys,Marsh,21028R,1.7,46.42715,-124.0197,5141871.57,Minnow,,CAMA,Female,51,
117,8/7/25,1,41,Willapa Bay,,Woodys,Marsh,21028R,1.7,46.42715,-124.0197,5141871.57,Minnow,,CAMA,Female,52,
118,8/7/25,1,41,Willapa Bay,,Woodys,Marsh,21028R,1.7,46.42715,-124.0197,5141871.57,Minnow,,CAMA,Female,57,
131,8/7/25,1,43,Willapa Bay,,Woodys,Marsh,21037R,1.7,46.42673,-124.0194,5141871.57,Minnow,,CAMA,Male,55,
132,8/7/25,1,45,Willapa Bay,,Woodys,Marsh,21043R,1.7,46.42616,-124.01957,5141871.57,Minnow,,CAMA,Male,49,
133,8/7/25,1,45,Willapa Bay,,Woodys,Marsh,21043R,1.7,46.42616,-124.01957,5141871.57,Minnow,,CAMA,Female,53,
134,8/7/25,1,45,Willapa Bay,,Woodys,Marsh,21043R,1.7,46.42616,-124.01957,5141871.57,Minnow,,CAMA,Male,54,
135,8/7/25,1,45,Willapa Bay,,Woodys,Marsh,21043R,1.7,46.42616,-124.01957,5141871.57,Minnow,,CAMA,Male,56,
136,8/7/25,1,45,Willapa Bay,,Woodys,Marsh,21043R,1.7,46.42616,-124.01957,5141871.57,Minnow,,CAMA,Female,46,
119,8/7/25,1,47,Willapa Bay,,Woodys,Marsh,21050R,1.7,46.42642,-124.01942,5141871.57,Minnow,,CAMA,Male,53,
120,8/7/25,1,47,Willapa Bay,,Woodys,Marsh,21050R,1.7,46.42642,-124.01942,5141871.57,Minnow,,CAMA,Male,35,
121,8/7/25,1,47,Willapa Bay,,Woodys,Marsh,21050R,1.7,46.42642,-124.01942,5141871.57,Minnow,,CAMA,Male,62,
122,8/7/25,1,47,Willapa Bay,,Woodys,Marsh,21050R,1.7,46.42642,-124.01942,5141871.57,Minnow,,CAMA,Female,50,
112,8/7/25,1,48,Willapa Bay,,Woodys,Marsh,21075R,1.7,46.42706,-124.01952,5141871.57,Fukui,,CAMA,Male,73,
113,8/7/25,1,48,Willapa Bay,,Woodys,Marsh,21075R,1.7,46.42706,-124.01952,5141871.57,Fukui,,CAMA,Female,30,
156,8/7/25,1,49,Willapa Bay,,Woodys,Mid,1261G,1.14,46.42486,-124.01728,5141871.57,Fukui,,CAMA,Female,34,
163,8/7/25,1,51,Willapa Bay,,Woodys,Mid,21007R,1.14,46.42516,-124.01734,5141871.57,Fukui,,CAMA,Male,32,
164,8/7/25,1,51,Willapa Bay,,Woodys,Mid,21007R,1.14,46.42516,-124.01734,5141871.57,Fukui,,CAMA,Female,27,
165,8/7/25,1,51,Willapa Bay,,Woodys,Mid,21007R,1.14,46.42516,-124.01734,5141871.57,Fukui,,CAMA,Male,34,
168,8/7/25,1,50,Willapa Bay,,Woodys,Mid,21017R,1.14,46.42584,-124.0175,5141871.57,Minnow,,CAMA,Male,33,
169,8/7/25,1,50,Willapa Bay,,Woodys,Mid,21017R,1.14,46.42584,-124.0175,5141871.57,Minnow,,CAMA,Female,32,
157,8/7/25,1,52,Willapa Bay,,Woodys,Mid,21027R,1.14,46.42532,-124.0174,5141871.57,Minnow,,CAMA,Female,54,
158,8/7/25,1,52,Willapa Bay,,Woodys,Mid,21027R,1.14,46.42532,-124.0174,5141871.57,Minnow,,CAMA,Male,29,
159,8/7/25,1,52,Willapa Bay,,Woodys,Mid,21027R,1.14,46.42532,-124.0174,5141871.57,Minnow,,CAMA,Male,24,
151,8/7/25,1,54,Willapa Bay,,Woodys,Mid,21048R,1.14,46.42558,-124.01741,5141871.57,Minnow,,CAMA,Male,30,
152,8/7/25,1,54,Willapa Bay,,Woodys,Mid,21048R,1.14,46.42558,-124.01741,5141871.57,Minnow,,CAMA,Female,22,
153,8/7/25,1,54,Willapa Bay,,Woodys,Mid,21048R,1.14,46.42558,-124.01741,5141871.57,Minnow,,CAMA,Male,20,
154,8/7/25,1,54,Willapa Bay,,Woodys,Mid,21048R,1.14,46.42558,-124.01741,5141871.57,Minnow,,CAMA,Male,36,
155,8/7/25,1,54,Willapa Bay,,Woodys,Mid,21048R,1.14,46.42558,-124.01741,5141871.57,Minnow,,CAMA,Male,31,
160,8/7/25,1,55,Willapa Bay,,Woodys,Mid,21052R,1.14,46.42609,-124.01756,5141871.57,Minnow,,CAMA,Female,31,
161,8/7/25,1,55,Willapa Bay,,Woodys,Mid,21052R,1.14,46.42609,-124.01756,5141871.57,Minnow,,CAMA,Female,21,
162,8/7/25,1,53,Willapa Bay,,Woodys,Mid,21097R,1.14,46.42544,-124.01738,5141871.57,Fukui,,CAMA,Male,35,
103,8/7/25,1,56,Willapa Bay,,Woodys,Zero,1278G,-0.24,46.42515,-124.01062,5141871.57,Fukui,,CAMA,Female,56,
106,8/7/25,1,57,Willapa Bay,,Woodys,Zero,1431G,-0.24,46.42494,-124.01046,5141871.57,Fukui,,CAMA,Female,78,
105,8/7/25,1,58,Willapa Bay,,Woodys,Zero,21120R,-0.02,46.42583,-124.01398,5141871.57,Fukui,,CAMA,Female,58,
186,8/8/25,2,1,Willapa Bay,,Breakwater,Low,1244WDFW,0.77,46.49885,-124.02691,5149967.36,Minnow,,CAMA,Female,47,
187,8/8/25,2,1,Willapa Bay,,Breakwater,Low,1244WDFW,0.77,46.49885,-124.02691,5149967.36,Minnow,,CAMA,Female,49,
194,8/8/25,2,2,Willapa Bay,,Breakwater,Low,1613WDFW,0.77,46.49804,-124.02715,5149967.36,Fukui,,CAMA,Male,65,
